flyby_periapsis_radius_km,flyby_altitude_km,turning_angle_deg,useful_delta_v_km_s,total_delta_v_km_s,saving_percent
1837.4,100.0,1.9723102183874657,0.42489438518918404,16.350180173660636,1.8250088776198623
1987.4,250.0,1.8258079623898424,0.39333621223873866,16.37258045092299,1.6905059548378207
2237.4,500.0,1.62467599505747,0.35000917091923134,16.403380620721187,1.505565705593529
2737.4,1000.0,1.3313537294287519,0.28682096910574956,16.448394957912125,1.235276197639393
4237.4,2499.9999999999995,0.8636074678749919,0.18605420425775937,16.52041157677132,0.8028509373627464
6737.4,5000.0,0.5446747317929029,0.11734451737013252,16.56967918735628,0.5070225623585882
11737.4,10000.0,0.3132829861110948,0.06749373762169425,16.60550549785648,0.29190274851268
20000.0,18262.6,0.18406412892855023,0.03965483830207664,16.625542063218848,0.17159278215877208
35000.0,33262.6,0.10525192701452905,0.022675517380558178,16.637772990544367,0.09815192897871815
50000.0,48262.6,0.07369665065791871,0.01587723712100838,16.642672275693098,0.06873407114021249
