day_index,calendar,rp_au,rp_km,r1_au,r1_km,earth_speed_km_s,earth_radial_speed_km_s,semi_major_axis_au,eccentricity,transfer_aphelion_speed_km_s,transfer_perihelion_speed_km_s,half_period_days,v_inf_no_moon_km_s,no_moon_launch_km_s,no_moon_residual_km_s,no_moon_reentry_km_s,no_moon_total_km_s,flyby_periapsis_radius_km,flyby_periapsis_altitude_km,flyby_side,flyby_turning_angle_deg,flyby_raw_delta_v_km_s,flyby_useful_delta_v_km_s,flyby_v_inf_after_km_s,flyby_launch_km_s,flyby_residual_km_s,flyby_reentry_km_s,flyby_total_km_s,saving_km_s,saving_percent
0,2026-01-01,0.2,29919574.14,0.9833266831821191,147103578.0065385,30.273753580732798,-0.031149296017798766,0.5916633415910595,0.6619699313089534,17.46312110217126,85.8597647570287,83.11519426053964,12.810632478561537,17.002997347629922,0.0,0.0,17.002997347629922,1837.4,100.0,leading,1.833436978616603,0.4099164967448335,0.4099164967448335,12.400715981816704,16.696328074292822,0.00819832993489667,0.0,16.704526404227718,0.29847094340220437,1.7554019288476144
1,2026-01-02,0.2,29919574.14,0.9833119376578223,147101372.10750136,30.272737042830236,-0.019858878863780866,0.5916559688289112,0.6619657190379263,17.463360844671858,85.85965595096013,83.11364070819127,12.809376198158379,17.00205084360945,0.0,0.0,17.00205084360945,1837.4,100.0,leading,1.8337909002412862,0.40995541273840186,0.40995541273840186,12.399420785419977,16.695366127061707,0.008199108254768037,0.0,16.703565235316475,0.29848560829297455,1.7555859057154046
2,2026-01-03,0.2,29919574.14,0.9833037895109021,147100153.16207194,30.272264957956484,-0.008334234203474391,0.591651894755451,0.661963391357571,17.463493325477106,85.85959582519996,83.11278224352753,12.808771632479377,17.001595367368996,0.0,0.0,17.001595367368996,1837.4,100.0,leading,1.8339612559269816,0.4099741430522206,0.4099741430522206,12.398797489427157,16.694903218843756,0.008199482861044412,0.0,16.7031027017048,0.2984926656641953,1.7556744482761277
3,2026-01-04,0.2,29919574.14,0.983302318656553,147099933.1253932,30.272371437983075,0.003231391841956648,0.5916511593282765,0.6619629711753334,17.46351724032831,85.85958497156759,83.11262727897788,12.808854197654764,17.001657570940328,0.0,0.0,17.001657570940328,1837.4,100.0,leading,1.8339379891601528,0.409971584965211,0.409971584965211,12.398882612689553,16.694966437402318,0.00819943169930422,0.0,16.70316586910162,0.29849170183870655,1.7556623558216833
4,2026-01-05,0.2,29919574.14,0.9833074937910551,147100707.3144953,30.27301923949535,0.0146512347412787,0.5916537468955276,0.6619644495629038,17.463433097297457,85.8596231594566,83.11317251516371,12.809586142197894,17.002209016393216,0.0,0.0,17.002209016393216,1837.4,100.0,leading,1.8337317473269517,0.40994890876376905,0.40994890876376905,12.399637233434126,16.695526880679758,0.008198978175275382,0.0,16.703725858855034,0.29848315753818255,1.7555551590407494
5,2026-01-06,0.2,29919574.14,0.9833191843188963,147102456.1925677,30.27411341466128,0.025771813740798056,0.5916595921594481,0.6619677891639736,17.463243022830266,85.85970942386056,83.1144041974553,12.810870391831013,17.00317660024229,0.0,0.0,17.00317660024229,1837.4,100.0,leading,1.833369964730761,0.40990912768632914,0.40990912768632914,12.400961264144684,16.696510251473253,0.008198182553726584,0.0,16.70470843402698,0.29846816621531147,1.7553670895299551
6,2026-01-07,0.2,29919574.14,0.9833371844080757,147105148.96758136,30.275525440590005,0.036487204462474346,0.5916685922040379,0.661972931071133,17.46295037031449,85.85984224301507,83.11630064990472,12.812575070275514,17.004461009810928,0.0,0.0,17.004461009810928,1837.4,100.0,leading,1.8328899087104358,0.409856335073972,0.409856335073972,12.402718735201542,16.697815615440657,0.00819712670147944,0.0,16.706012742142136,0.2984482676687925,1.755117480622286
7,2026-01-08,0.2,29919574.14,0.9833612411023012,147108747.79781356,30.277117716236063,0.04673916855207857,0.5916806205511507,0.6619798028644237,17.462559262515747,85.86001974604984,83.11883523635028,12.814558453720316,17.00595550583822,0.0,0.0,17.00595550583822,1837.4,100.0,leading,1.8323316023327965,0.40979492799737655,0.40979492799737655,12.40476352572294,16.69933449068677,0.008195898559947531,0.0,16.707530389246717,0.2984251165915026,1.7548271044755583
8,2026-01-09,0.2,29919574.14,0.9833910794258599,147113211.5474832,30.278761158613236,0.05650765028615829,0.5916955397129299,0.6619883257916174,17.462074182857258,85.86023989847219,83.1219790046022,12.816686975755978,17.00755947622255,0.0,0.0,17.00755947622255,1837.4,100.0,leading,1.8317327228355336,0.4097290474357723,0.4097290474357723,12.406957928320205,16.70096462297439,0.008194580948715446,0.0,16.709159203923104,0.2984002722994461,1.7545155300889888
9,2026-01-10,0.2,29919574.14,0.9834264207552683,147118498.5351104,30.28034381496844,0.06579794521113885,0.5917132103776341,0.6619984200245267,17.46149967620586,85.86050063795206,83.12570262128074,12.818844138762579,17.009185146755918,0.0,0.0,17.009185146755918,1837.4,100.0,leading,1.8311260828486844,0.40966230163839135,0.40966230163839135,12.409181837124187,16.702616806044116,0.008193246032767828,0.0,16.710810052076884,0.29837509467903445,1.7541998167733632
